date,total,O,A,B,AB
2017-09-24,25231,5399,5987,9885,3960
2017-09-25,24837,5333,5930,9718,3856
2017-09-26,24499,5304,5823,9600,3772
2017-09-27,24417,5352,5750,9533,3782
2017-09-28,24067,5247,5766,9367,3687
2017-09-29,25677,5659,6340,9759,3919
2017-09-30,28192,6538,7116,10369,4169
2017-10-01,28484,6726,7203,10414,4141
2017-10-02,26767,6292,6542,9913,4020
2017-10-03,24703,5731,5785,9431,3756
2017-10-04,22774,5206,5182,8857,3529
2017-10-05,21090,4660,4739,8347,3344
2017-10-06,20090,4462,4552,8014,3062
2017-10-07,20981,4651,4869,8310,3151
2017-10-08,20716,4614,4797,8163,3142
2017-10-09,20819,4636,4874,8182,3127
2017-10-10,19699,4234,4497,7825,3143
2017-10-11,19051,4034,4431,7566,3020
2017-10-12,18849,3806,4607,7437,2999
2017-10-13,19903,4341,4915,7596,3051
2017-10-14,20921,4637,5217,7927,3140
2017-10-15,20457,4540,4923,7876,3118
2017-10-16,21259,4843,5248,8068,3100
2017-10-17,19661,4447,4725,7710,2779
2017-10-18,19144,4161,4715,7590,2678
2017-10-19,19523,4362,4932,7615,2614
2017-10-20,21248,5034,5384,8011,2819
2017-10-21,22477,5312,5804,8435,2926
2017-10-22,22818,5465,6019,8426,2908
2017-10-23,22270,5381,5876,8142,2871
2017-10-24,21254,5125,5558,7799,2772
2017-10-25,20654,4895,5341,7768,2650
2017-10-26,20807,4903,5565,7654,2685
2017-10-27,17546,3955,4389,6770,2432
2017-10-28,19971,4732,5322,7306,2611
2017-10-29,20775,4986,5573,7520,2696
2017-10-30,21741,5141,6004,7788,2808
2017-10-31,21529,5098,5847,7877,2707
2017-11-01,20595,4742,5555,7644,2654
2017-11-02,19666,4488,5086,7462,2630
2017-11-03,20203,4576,5417,7566,2644
2017-11-04,21447,4957,5850,7905,2735
2017-11-05,21239,4974,5736,7854,2675
2017-11-06,20878,4791,5720,7737,2630
2017-11-07,19701,4369,5404,7502,2426
2017-11-08,18429,4051,5039,7191,2148
2017-11-09,17828,3993,4786,6972,2077
2017-11-10,17482,3987,4664,6781,2050
2017-11-11,20124,4803,5463,7481,2377
2017-11-12,19879,4748,5294,7572,2265
2017-11-13,19948,4816,5275,7606,2251
2017-11-14,18887,4570,4945,7258,2114
2017-11-15,19016,4512,4973,7335,2196
2017-11-16,19115,4555,5068,7253,2239
2017-11-17,18797,4432,4991,7157,2217
2017-11-18,20107,4822,5404,7495,2386
2017-11-19,20252,4840,5439,7537,2436
2017-11-20,20350,4825,5440,7536,2549
2017-11-21,19441,4512,5301,7111,2517
2017-11-22,18936,4478,5103,6862,2493
2017-11-23,18576,4289,5195,6758,2334
2017-11-24,20262,4816,5802,7102,2542
2017-11-25,21492,5080,6193,7495,2724
2017-11-26,21917,5090,6381,7662,2784
2017-11-27,23275,5549,6869,8020,2837
2017-11-28,23129,5547,6635,8070,2877
2017-11-29,23265,5457,6531,8329,2948
2017-11-30,23333,5669,6711,8056,2897
2017-12-01,24105,5807,7114,8232,2952
2017-12-02,24811,6067,7349,8339,3056
2017-12-03,24494,5977,7200,8270,3047
2017-12-04,23762,5828,6873,8082,2979
2017-12-05,22586,5517,6429,7844,2796
2017-12-06,21195,5070,6019,7453,2653
2017-12-07,20391,4824,5761,7240,2566
2017-12-08,20261,4784,5780,7116,2581
2017-12-09,21372,5054,6171,7460,2687
2017-12-10,21458,5127,6135,7411,2785
2017-12-11,20965,4928,5990,7369,2678
2017-12-12,19953,4602,5716,7069,2566
2017-12-13,19843,4557,5850,6931,2505
2017-12-14,21422,4910,6490,7298,2724
2017-12-15,21941,5131,6638,7437,2735
2017-12-16,23809,5531,7281,7946,3051
2017-12-17,23564,5412,7217,7900,3035
2017-12-18,24028,5603,7558,7835,3032
2017-12-19,24657,5971,7603,7932,3151
2017-12-20,24042,5935,7403,7574,3130
2017-12-21,24272,6114,7391,7584,3183
2017-12-22,25787,6579,8035,7947,3226
2017-12-23,28637,7316,9101,8604,3616
2017-12-24,28717,7308,9152,8610,3647
2017-12-25,28068,7131,8954,8413,3570
2017-12-26,29117,7469,9211,8666,3771
2017-12-27,29572,7496,9401,8891,3784
2017-12-28,30497,7610,9810,9181,3896
2017-12-29,28471,6974,9091,8608,3798
2017-12-30,30924,7580,9992,9327,4025
2017-12-31,32179,8001,10428,9592,4158
2018-01-01,30166,7394,9762,9050,3960
2018-01-02,29331,7152,9494,8814,3871
2018-01-03,28184,6775,9195,8436,3778
2018-01-04,27419,6664,8937,8163,3655
2018-01-05,25591,6093,8326,7597,3575
2018-01-06,26501,6258,8616,7907,3720
2018-01-07,26200,6246,8451,7781,3722
2018-01-08,24719,5858,7911,7395,3555
2018-01-09,23620,5492,7634,7065,3429
2018-01-10,22194,5087,7312,6484,3311
2018-01-11,20129,4495,6564,5929,3141
2018-01-12,19487,4362,6269,5762,3094
2018-01-13,21254,4980,6865,6123,3286
2018-01-14,22131,5123,7277,6330,3401
2018-01-15,20418,4721,6864,5724,3109
2018-01-16,18986,4375,6163,5460,2988
2018-01-17,18455,4254,5926,5444,2831
2018-01-18,18799,4519,5998,5586,2696
2018-01-19,19154,4601,6115,5779,2659
2018-01-20,20915,5114,6652,6187,2962
2018-01-21,21436,5035,6927,6378,3096
2018-01-22,20624,4907,6685,6127,2905
2018-01-23,20004,4666,6436,5999,2903
2018-01-24,20395,4706,6578,6131,2980
2018-01-25,20222,4670,6490,6089,2973
2018-01-26,19894,4567,6433,5923,2971
2018-01-27,22319,5105,7242,6689,3283
2018-01-28,23580,5454,7660,7064,3402
2018-01-29,23044,5379,7484,6838,3343
2018-01-30,22236,5117,7340,6531,3248
2018-01-31,22642,5109,7539,6622,3372
2018-02-01,21756,4945,7064,6481,3266
2018-02-02,21597,4887,6926,6471,3313
2018-02-03,23430,5227,7771,6946,3486
2018-02-04,23209,5015,7733,7005,3456
2018-02-05,22894,4938,7662,6822,3472
2018-02-06,21746,4685,7204,6481,3376
2018-02-07,22270,4923,7320,6594,3433
2018-02-08,21951,4958,7208,6384,3401
2018-02-09,21474,4912,7099,6170,3293
2018-02-10,22658,5191,7426,6582,3459
2018-02-11,23289,5265,7718,6787,3519
2018-02-12,22827,5233,7533,6708,3353
2018-02-13,21987,5054,7215,6501,3217
2018-02-14,21939,5110,7148,6435,3246
2018-02-15,19445,4349,6418,5738,2940
2018-02-16,17171,3777,5666,5065,2663
2018-02-17,18204,4098,6025,5244,2837
2018-02-18,18684,4232,6232,5320,2900
2018-02-19,19399,4457,6546,5438,2958
2018-02-20,18368,4165,6139,5188,2876
2018-02-21,16765,3761,5614,4786,2604
2018-02-22,17523,4085,5744,4978,2716
2018-02-23,18306,4373,5786,5274,2873
2018-02-24,20904,4979,6805,5908,3212
2018-02-25,22427,5318,7329,6369,3411
2018-02-26,22242,5299,7202,6352,3389
2018-02-27,21333,4868,6795,6249,3421
2018-02-28,20724,4728,6618,5989,3389
2018-03-01,20957,4803,6733,6079,3342
2018-03-02,22081,5152,7160,6282,3487
2018-03-03,24241,5693,7782,6936,3830
2018-03-04,24181,5656,7655,7022,3848
2018-03-05,24127,5576,7642,7018,3891
2018-03-06,22842,5192,7181,6736,3733
2018-03-07,21578,4898,6753,6267,3660
2018-03-08,20627,4643,6463,5900,3621
2018-03-09,21014,4723,6529,6081,3681
2018-03-10,23918,5488,7603,6754,4073
2018-03-11,24461,5624,7754,6973,4110
2018-03-12,24482,5630,7830,6933,4089
2018-03-13,23184,5287,7244,6716,3937
2018-03-14,22503,5163,7057,6588,3695
2018-03-15,21669,5144,6657,6420,3448
2018-03-16,21417,5114,6569,6331,3403
2018-03-17,23052,5490,7347,6689,3526
2018-03-18,23232,5543,7351,6784,3554
2018-03-19,22814,5450,7205,6730,3429
2018-03-20,21899,5115,6998,6489,3297
2018-03-21,20741,4681,6556,6322,3182
2018-03-22,19944,4563,6248,6012,3121
2018-03-23,21421,5013,6955,6169,3284
2018-03-24,24137,5610,7938,7017,3572
2018-03-25,24366,5673,7991,7102,3600
2018-03-26,25492,6129,8401,7345,3617
2018-03-27,24416,5749,7994,7027,3646
2018-03-28,24613,5534,8108,7252,3719
2018-03-29,25274,5720,8315,7585,3654
2018-03-30,26326,6003,8628,7916,3779
2018-03-31,28042,6460,9275,8281,4026
2018-04-01,28753,6740,9453,8477,4083
2018-04-02,28246,6525,9195,8440,4086
2018-04-03,25921,5999,8284,7852,3786
2018-04-04,24618,5570,7941,7518,3589
2018-04-05,23646,5320,7653,7182,3491
2018-04-06,23481,5258,7598,7107,3518
2018-04-07,24114,5366,7769,7356,3623
2018-04-08,23950,5340,7725,7393,3492
2018-04-09,24044,5327,7780,7369,3568
2018-04-10,22340,4803,7186,6988,3363
2018-04-11,21459,4579,6880,6766,3234
2018-04-12,21246,4474,6743,6880,3149
2018-04-13,21193,4671,6694,6865,2963
2018-04-14,22111,4946,7040,7057,3068
2018-04-15,22672,5055,7309,7171,3137
2018-04-16,22343,4950,7092,7217,3084
2018-04-17,20568,4335,6506,6861,2866
2018-04-18,19663,4264,6108,6541,2750
2018-04-19,18552,4064,5775,6262,2451
2018-04-20,18512,4013,5745,6301,2453
2018-04-21,19535,4306,6153,6435,2641
2018-04-22,19206,4286,6070,6261,2589
2018-04-23,18527,4139,5757,6099,2532
2018-04-24,17004,3803,5212,5660,2329
2018-04-25,16837,3849,5221,5518,2249
2018-04-26,18201,4282,5566,5934,2419
2018-04-27,19850,4671,6153,6422,2604
2018-04-28,22895,5522,7328,7135,2910
2018-04-29,24413,5886,7970,7482,3075
2018-04-30,24736,5906,8120,7610,3100
2018-05-01,22382,5251,7307,7057,2767
2018-05-02,22475,5303,7508,6921,2743
2018-05-03,22695,5318,7570,7048,2759
2018-05-04,23896,5517,8060,7422,2897
2018-05-05,25812,6044,8753,7882,3133
2018-05-06,26484,6134,8999,8088,3263
2018-05-07,25223,5814,8476,7820,3113
2018-05-08,25431,5815,8422,7986,3208
2018-05-09,25290,5773,8173,8093,3251
2018-05-10,25914,5874,8424,8280,3336
2018-05-11,25929,5816,8362,8439,3312
2018-05-12,27650,6332,8947,8951,3420
2018-05-13,27940,6455,9065,8992,3428
2018-05-14,29710,6933,9668,9455,3654
2018-05-15,29276,6895,9356,9318,3707
2018-05-16,28418,6686,9022,9078,3632
2018-05-17,28159,6576,8827,9086,3670
2018-05-18,28818,6762,8972,9313,3771
2018-05-19,30484,7275,9487,9732,3990
2018-05-20,30834,7389,9627,9871,3947
2018-05-21,32776,7811,10400,10272,4293
2018-05-22,30789,7241,9677,9823,4048
2018-05-23,31959,7366,9973,10372,4248
2018-05-24,32264,7371,10017,10626,4250
2018-05-25,32929,7517,10260,10793,4359
2018-05-26,35347,8304,11097,11364,4582
2018-05-27,36091,8586,11316,11495,4694
2018-05-28,36969,8841,11573,11668,4887
2018-05-29,36416,8664,11254,11557,4941
2018-05-30,37057,8918,11436,11656,5047
2018-05-31,37911,9085,11654,11993,5179
2018-06-01,37143,8645,11499,11912,5087
2018-06-02,37413,8796,11715,11927,4975
2018-06-03,37144,8836,11695,11720,4893
2018-06-04,36638,8827,11256,11640,4915
2018-06-05,35357,8554,10794,11237,4772
2018-06-06,35157,8558,10731,11179,4689
2018-06-07,33803,8295,10003,10873,4632
2018-06-08,34152,8403,10089,11011,4649
2018-06-09,35045,8706,10549,11169,4621
2018-06-10,34637,8603,10369,11065,4600
2018-06-11,33947,8337,10186,10933,4491
2018-06-12,32888,8033,9876,10563,4416
2018-06-13,31837,7732,9512,10318,4275
2018-06-14,33122,8082,9786,10815,4439
2018-06-15,33379,8153,9938,10848,4440
2018-06-16,34521,8389,10377,11112,4643
2018-06-17,34317,8426,10343,10961,4587
2018-06-18,33716,8334,10050,10837,4495
2018-06-19,32113,7775,9448,10541,4349
2018-06-20,31885,7796,9315,10490,4284
2018-06-21,30822,7381,8969,10248,4224
2018-06-22,30518,7253,8784,10334,4147
2018-06-23,31380,7479,9137,10572,4192
2018-06-24,31727,7615,9229,10658,4225
2018-06-25,30030,7331,8533,10242,3924
2018-06-26,28141,6787,7877,9774,3703
2018-06-27,25933,6160,7210,9221,3342
2018-06-28,23728,5563,6350,8684,3131
2018-06-29,23120,5417,6263,8509,2931
2018-06-30,23784,5554,6514,8699,3017
2018-07-01,23945,5605,6652,8680,3008
2018-07-02,21613,5060,5821,8001,2731
2018-07-03,19227,4359,5015,7483,2370
2018-07-04,18995,4247,5034,7394,2320
2018-07-05,17849,3786,4771,7048,2244
2018-07-06,18879,4010,5159,7257,2453
2018-07-07,22229,5052,6253,8129,2795
2018-07-08,22982,5318,6506,8278,2880
2018-07-09,23156,5404,6613,8204,2935
2018-07-10,22812,5235,6480,8186,2911
2018-07-11,22010,4922,6268,8014,2806
2018-07-12,22688,5104,6512,8172,2900
2018-07-13,23373,5219,6696,8463,2995
2018-07-14,24877,5697,7262,8724,3194
2018-07-15,25107,5839,7370,8783,3115
2018-07-16,25500,5988,7431,8943,3138
2018-07-17,24931,5733,7185,8936,3077
2018-07-18,24409,5467,7048,8888,3006
2018-07-19,23726,5470,6674,8760,2822
2018-07-20,23990,5567,6766,8840,2817
2018-07-21,25583,6129,7230,9266,2958
2018-07-22,25155,6015,7075,9174,2891
2018-07-23,25662,6098,7231,9435,2898
2018-07-24,24973,5960,6892,9320,2801
2018-07-25,24216,5630,6680,9264,2642
2018-07-26,23051,5374,6239,8948,2490
2018-07-27,22412,5224,6051,8746,2391
2018-07-28,23892,5760,6646,8938,2548
2018-07-29,24985,6110,7051,9126,2698
2018-07-30,25064,6223,7210,8955,2676
2018-07-31,24828,6189,7124,8853,2662
2018-08-01,24902,6181,7069,8968,2684
2018-08-02,23756,5772,6523,8842,2619
2018-08-03,23423,5761,6389,8687,2586
2018-08-04,25297,6376,7146,9046,2729
2018-08-05,25045,6291,7106,8901,2747
2018-08-06,24600,6017,7007,8855,2721
2018-08-07,23389,5708,6639,8461,2581
2018-08-08,23029,5798,6372,8473,2386
2018-08-09,21944,5597,6059,8022,2266
2018-08-10,21063,5228,5735,7921,2179
2018-08-11,22772,5819,6233,8328,2392
2018-08-12,22453,5732,6240,8167,2314
2018-08-13,21949,5635,6067,7988,2259
2018-08-14,20485,5329,5460,7522,2174
2018-08-15,20911,5470,5726,7480,2235
2018-08-16,19182,4939,5267,6885,2091
2018-08-17,18973,4905,5129,6950,1989
2018-08-18,20902,5351,5956,7491,2104
2018-08-19,21198,5467,6080,7518,2133
2018-08-20,20110,5232,5533,7279,2066
2018-08-21,19528,5054,5371,7073,2030
2018-08-22,18567,4770,5143,6699,1955
2018-08-23,17433,4555,4795,6212,1871
2018-08-24,16195,4102,4470,5888,1735
2018-08-25,18696,4841,5355,6467,2033
2018-08-26,19665,5080,5681,6819,2085
2018-08-27,18447,4772,5266,6485,1924
2018-08-28,17192,4405,4909,5993,1885
2018-08-29,16406,4127,4624,5857,1798
2018-08-30,16566,4182,4611,5931,1842
2018-08-31,15994,4038,4341,5792,1823
2018-09-01,16967,4322,4835,5987,1823
2018-09-02,16294,4067,4620,5833,1774
2018-09-03,16453,4079,4722,5855,1797
2018-09-04,16072,4051,4513,5738,1770
2018-09-05,16035,3984,4401,5800,1850
2018-09-06,15809,3910,4438,5612,1849
2018-09-07,15991,4016,4488,5606,1881
2018-09-08,19088,4811,5584,6454,2239
2018-09-09,20334,5164,5982,6839,2349
2018-09-10,22129,5675,6560,7343,2551
2018-09-11,22035,5438,6452,7542,2603
2018-09-12,22251,5528,6609,7473,2641
2018-09-13,22180,5337,6447,7651,2745
2018-09-14,22503,5417,6544,7805,2737
2018-09-15,24511,5922,7198,8375,3016
2018-09-16,24316,5796,7118,8412,2990
2018-09-17,25141,6196,7186,8705,3054
2018-09-18,24298,6058,6867,8488,2885
2018-09-19,23548,5766,6722,8267,2793
2018-09-20,22641,5538,6358,8135,2610
2018-09-21,22386,5480,6252,8025,2629
2018-09-22,24474,5924,7057,8633,2860
2018-09-23,23804,5717,6877,8404,2806
2018-09-24,21769,5111,6254,7888,2516
2018-09-25,20259,4587,5812,7504,2356
2018-09-26,19355,4313,5591,7191,2260
2018-09-27,19657,4415,5683,7242,2317
2018-09-28,19054,4196,5478,7059,2321
2018-09-29,20025,4378,5935,7298,2414
2018-09-30,19689,4243,5826,7277,2343
2018-10-01,18089,3962,5304,6820,2003
2018-10-02,16632,3454,4909,6352,1917
2018-10-03,15612,3162,4573,6101,1776
2018-10-04,14866,3018,4334,5819,1695
2018-10-05,14203,2950,4001,5541,1711
2018-10-06,14119,2889,3952,5561,1717
2018-10-07,14426,2931,4134,5642,1719
2018-10-08,14386,2880,4174,5540,1792
2018-10-09,14513,2908,4175,5611,1819
2018-10-10,13828,2856,4090,5307,1575
2018-10-11,13068,2598,3871,5046,1553
2018-10-12,14714,3036,4391,5495,1792
2018-10-13,16423,3336,4914,6145,2028
2018-10-14,16111,3176,4799,6069,2067
2018-10-15,16499,3302,4917,6247,2033
2018-10-16,15011,2965,4337,5769,1940
2018-10-17,15425,3075,4476,5909,1965
2018-10-18,15577,3239,4481,5776,2081
2018-10-19,16327,3332,4716,6064,2215
2018-10-20,17662,3656,5320,6391,2295
2018-10-21,18130,3763,5617,6481,2269
2018-10-22,17337,3512,5408,6181,2236
2018-10-23,16372,3214,5238,5863,2057
2018-10-24,15573,3041,4925,5585,2022
2018-10-25,15843,3027,5118,5614,2084
2018-10-26,16363,3118,5324,5815,2106
2018-10-27,16719,3314,5596,5698,2111
2018-10-28,16940,3279,5682,5743,2236
2018-10-29,17223,3483,5731,5705,2304
2018-10-30,16806,3455,5436,5624,2291
2018-10-31,16350,3429,5157,5551,2213
2018-11-01,15709,3389,4880,5368,2072
2018-11-02,17415,4005,5253,5831,2326
2018-11-03,19642,4566,6037,6470,2569
2018-11-04,19620,4446,6098,6484,2592
2018-11-05,20503,4772,6397,6642,2692
2018-11-06,19728,4685,6141,6346,2556
2018-11-07,19931,4742,6178,6479,2532
2018-11-08,19798,4618,6149,6460,2571
2018-11-09,21003,4997,6517,6802,2687
2018-11-10,23313,5542,7314,7513,2944
2018-11-11,23178,5339,7369,7521,2949
2018-11-12,23773,5409,7795,7556,3013
2018-11-13,23417,5215,7686,7611,2905
2018-11-14,24810,5626,8151,8024,3009
2018-11-15,24639,5634,8140,7859,3006
2018-11-16,25494,5800,8582,8035,3077
2018-11-17,26999,6182,9187,8388,3242
2018-11-18,27518,6234,9551,8434,3299
2018-11-19,27938,6350,9762,8360,3466
2018-11-20,27026,6048,9559,8191,3228
2018-11-21,25932,5833,9147,7841,3111
2018-11-22,25810,5842,9000,7852,3116
2018-11-23,26946,6068,9468,8139,3271
2018-11-24,29412,6680,10288,8884,3560
2018-11-25,29440,6643,10348,8893,3556
2018-11-26,29683,6552,10463,9023,3645
2018-11-27,29422,6448,10347,9040,3587
2018-11-28,30231,6529,10586,9453,3663
2018-11-29,31062,6695,10771,9841,3755
2018-11-30,32712,6889,11531,10292,4000
2018-12-01,33973,7287,11925,10633,4128
2018-12-02,34152,7208,12100,10661,4183
2018-12-03,33540,7094,11922,10362,4162
2018-12-04,32775,6740,11710,10135,4190
2018-12-05,31573,6391,11422,9729,4031
2018-12-06,31362,6218,11363,9737,4044
2018-12-07,30693,6007,11124,9593,3969
2018-12-08,32448,6526,11694,10085,4143
2018-12-09,32127,6440,11679,9955,4053
2018-12-10,30575,5970,11096,9692,3817
2018-12-11,29034,5608,10663,9092,3671
2018-12-12,26964,4976,9997,8531,3460
2018-12-13,26253,4857,9579,8378,3439
2018-12-14,25827,4819,9369,8290,3349
2018-12-15,27018,5115,9834,8633,3436
2018-12-16,27340,5105,9988,8724,3523
2018-12-17,26511,4976,9654,8473,3408
2018-12-18,26261,4952,9634,8336,3339
2018-12-19,25094,4494,9185,7987,3428
2018-12-20,25240,4577,9277,8007,3379
2018-12-21,25136,4488,9365,8059,3224
2018-12-22,26897,4963,10008,8588,3338
2018-12-23,27218,4926,10131,8741,3420
2018-12-24,28416,5291,10670,8942,3513
2018-12-25,26921,4855,10213,8612,3241
2018-12-26,26869,4946,10268,8479,3176
2018-12-27,25206,4456,9690,7990,3070
2018-12-28,23337,3907,9206,7429,2795
2018-12-29,25557,4533,10051,7925,3048
2018-12-30,26715,4779,10500,8237,3199
2018-12-31,26300,4829,10183,8181,3107
2019-01-01,24036,4210,9361,7660,2805
2019-01-02,23543,4284,9029,7504,2726
2019-01-03,21873,3976,8237,7074,2586
2019-01-04,20461,3723,7734,6466,2538
2019-01-05,21906,4027,8331,6920,2628
2019-01-06,21678,3912,8333,6855,2578
2019-01-07,20578,3838,7830,6497,2413
2019-01-08,19553,3728,7403,6192,2230
2019-01-09,18489,3607,6894,5902,2086
2019-01-10,18219,3758,6481,5853,2127
2019-01-11,18084,3746,6381,5760,2197
2019-01-12,19503,4176,6829,6109,2389
2019-01-13,19878,4242,7063,6161,2412
2019-01-14,18260,3888,6531,5625,2216
2019-01-15,17423,3738,6139,5376,2170
2019-01-16,17432,3885,6136,5294,2117
2019-01-17,17854,4142,6390,5225,2097
2019-01-18,18216,4352,6492,5223,2149
2019-01-19,20579,4937,7213,5972,2457
2019-01-20,20966,4870,7509,6043,2544
2019-01-21,20707,4995,7210,5966,2536
2019-01-22,20568,4957,7077,5975,2559
2019-01-23,20890,5019,7333,5943,2595
2019-01-24,20688,4985,7213,5869,2621
2019-01-25,21296,5099,7456,6102,2639
2019-01-26,24509,5786,8687,6993,3043
2019-01-27,25287,5916,9030,7187,3154
2019-01-28,26108,6249,9142,7436,3281
2019-01-29,25781,6110,9155,7308,3208
2019-01-30,25929,5976,9242,7433,3278
2019-01-31,25441,5734,9318,7199,3190
2019-02-01,26658,6192,9769,7341,3356
2019-02-02,29382,6809,10699,8137,3737
2019-02-03,29606,6788,10892,8173,3753
2019-02-04,27059,5972,10030,7471,3586
2019-02-05,24773,5331,9233,6890,3319
2019-02-06,24462,5241,9094,6884,3243
2019-02-07,25470,5655,9340,7106,3369
2019-02-08,26687,5997,9608,7512,3570
2019-02-09,29367,6769,10564,8231,3803
2019-02-10,30401,7045,10987,8503,3866
2019-02-11,29420,6795,10675,8226,3724
2019-02-12,27468,6237,10044,7695,3492
2019-02-13,25872,5743,9553,7274,3302
2019-02-14,24978,5557,9270,6952,3199
2019-02-15,23628,5419,8700,6470,3039
2019-02-16,25202,5907,9181,6875,3239
2019-02-17,24990,5922,9081,6809,3178
2019-02-18,23586,5409,8641,6518,3018
2019-02-19,22272,5035,8125,6274,2838
2019-02-20,22004,4966,8047,6271,2720
2019-02-21,21387,4877,7846,6009,2655
2019-02-22,20580,4663,7659,5747,2511
2019-02-23,22416,5143,8291,6272,2710
2019-02-24,22772,5216,8350,6476,2730
2019-02-25,21767,5084,7874,6182,2627
2019-02-26,20835,4833,7526,5949,2527
2019-02-27,20316,4643,7231,5944,2498
2019-02-28,20698,4794,7402,6012,2490
2019-03-01,18554,4215,6736,5426,2177
2019-03-02,21701,5075,7948,6145,2533
2019-03-03,22045,5200,8102,6247,2496
2019-03-04,21051,4929,7789,5940,2393
2019-03-05,19913,4670,7380,5553,2310
2019-03-06,18902,4396,7007,5272,2227
2019-03-07,18273,4229,6669,5213,2162
2019-03-08,18511,4350,6747,5261,2153
2019-03-09,20550,4797,7494,5862,2397
2019-03-10,20941,4912,7652,5997,2380
2019-03-11,19586,4595,7382,5431,2178
2019-03-12,18330,4357,6804,5166,2003
2019-03-13,17375,4147,6329,4968,1931
2019-03-14,16894,4050,6045,4871,1928
2019-03-15,17926,4332,6409,5181,2004
2019-03-16,20280,4999,7270,5765,2246
2019-03-17,21317,5402,7641,5935,2339
2019-03-18,20398,5123,7443,5550,2282
2019-03-19,19133,4803,6911,5263,2156
2019-03-20,18020,4467,6599,4920,2034
2019-03-21,17352,4108,6410,4754,2080
2019-03-22,18799,4541,6760,5170,2328
2019-03-23,20285,4964,7321,5507,2493
2019-03-24,20548,5043,7475,5550,2480
2019-03-25,21436,5405,7676,5825,2530
2019-03-26,20569,5134,7391,5637,2407
2019-03-27,20674,5049,7490,5718,2417
2019-03-28,20618,5148,7338,5692,2440
2019-03-29,21845,5512,7675,6162,2496
2019-03-30,23456,5907,8371,6495,2683
2019-03-31,23455,5806,8401,6563,2685
2019-04-01,23647,5779,8671,6522,2675
2019-04-02,23307,5794,8502,6409,2602
2019-04-03,22667,5557,8220,6303,2587
2019-04-04,21817,5279,7845,6160,2533
2019-04-05,21832,5080,8007,6235,2510
2019-04-06,22027,5216,8103,6238,2470
2019-04-07,21839,5107,8135,6156,2441
2019-04-08,21445,5004,8048,6114,2279
2019-04-09,20137,4693,7415,5860,2169
2019-04-10,18803,4329,6869,5532,2073
2019-04-11,18330,4160,6696,5494,1980
2019-04-12,18755,4375,6764,5598,2018
2019-04-13,18735,4300,6812,5625,1998
2019-04-14,18528,4260,6802,5587,1879
2019-04-15,18066,4136,6653,5406,1871
2019-04-16,17074,3875,6210,5244,1745
2019-04-17,16143,3654,5881,4970,1638
2019-04-18,16018,3650,5795,4991,1582
2019-04-19,16443,3752,5784,5092,1815
2019-04-20,17223,3947,6033,5328,1915
2019-04-21,18454,4260,6484,5701,2009
2019-04-22,18346,4339,6504,5594,1909
2019-04-23,16743,3942,6109,5025,1667
2019-04-24,15910,3673,5762,4840,1635
2019-04-25,16050,3700,5690,4893,1767
2019-04-26,17766,4173,6254,5255,2084
2019-04-27,19517,4512,6921,5777,2307
2019-04-28,19663,4613,7013,5802,2235
2019-04-29,20058,4660,7130,5929,2339
2019-04-30,18212,4018,6549,5466,2179
2019-05-01,18396,4050,6634,5521,2191
2019-05-02,19695,4401,7101,5879,2314
2019-05-03,21216,4738,7574,6351,2553
2019-05-04,23683,5360,8449,7099,2775
2019-05-05,23132,5242,8238,6975,2677
2019-05-06,22141,4923,7983,6658,2577
2019-05-07,22087,5003,7988,6481,2615
2019-05-08,20828,4584,7547,6166,2531
2019-05-09,20526,4407,7468,6135,2516
2019-05-10,20691,4528,7493,6202,2468
2019-05-11,21798,4827,8052,6381,2538
2019-05-12,21107,4617,7801,6229,2460
2019-05-13,21345,4632,8055,6215,2443
2019-05-14,20445,4417,7715,6031,2282
2019-05-15,19691,4255,7398,5945,2093
2019-05-16,19739,4290,7394,5947,2108
2019-05-17,19929,4297,7465,6143,2024
2019-05-18,21173,4647,7804,6551,2171
2019-05-19,21717,4767,7939,6757,2254
2019-05-20,22008,4876,7940,6810,2382
2019-05-21,21931,4773,7873,6876,2409
2019-05-22,22127,4787,8000,6911,2429
2019-05-23,22430,4884,8122,6937,2487
2019-05-24,22468,4969,7977,7060,2462
2019-05-25,24942,5641,8864,7766,2671
2019-05-26,24724,5546,8724,7750,2704
2019-05-27,25304,5681,8909,7948,2766
2019-05-28,25601,5704,8894,8105,2898
2019-05-29,26316,5672,9301,8435,2908
2019-05-30,27806,6014,9822,9001,2969
2019-05-31,29882,6556,10669,9495,3162
2019-06-01,32290,7202,11534,10182,3372
2019-06-02,32329,7156,11571,10299,3303
2019-06-03,32004,7070,11524,10026,3384
2019-06-04,31135,6819,11166,9845,3305
2019-06-05,31236,6795,11191,9857,3393
2019-06-06,31259,6707,11154,9954,3444
2019-06-07,31896,6886,11265,10215,3530
2019-06-08,32933,7110,11634,10566,3623
2019-06-09,32882,7060,11581,10603,3638
2019-06-10,32565,6973,11368,10552,3672
2019-06-11,31869,6635,11236,10429,3569
2019-06-12,31505,6504,10987,10412,3602
2019-06-13,31381,6522,10819,10372,3668
2019-06-14,32476,6817,11221,10665,3773
2019-06-15,33726,7211,11638,11029,3848
2019-06-16,32964,6986,11373,10831,3774
2019-06-17,32450,6908,11159,10664,3719
2019-06-18,31268,6512,10774,10460,3522
2019-06-19,29919,6206,10417,9933,3363
2019-06-20,28773,5821,10110,9625,3217
